ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"110.78.149.65","elite","AS131090","TH","CAT-BB","178","N/A","4145","socks4","4303","2","2023-09-06T11:07:17.784Z","81","2995","3705"
"5.133.30.141","elite","AS199046","PS","JetNet for Information Technology and Telecommunications Limited Liability Comp","58","JETNET for Communication and Information Technology Ltd.","5678","socks4","801","1","2023-09-06T11:07:06.774Z","95","3541","3715"
"67.207.75.252","elite","AS14061","DE","DigitalOcean, LLC","17","DigitalOcean, LLC","58927","socks5","4593","1","2023-09-06T11:07:06.775Z","100","3723","3723"
"103.240.33.145","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","128","Vihaan","8291","socks4","508","1","2023-09-06T11:07:06.693Z","99","3631","3680"
"185.105.237.11","elite","AS212248","IR","Abolfazl-Shirdel","16","Amnpardaz Soft Corporation","3128","socks5","4894","1","2023-09-06T11:07:06.694Z","100","3642","3660"
"88.198.165.115","elite","AS24940","DE","Hetzner","15","Astrid Stolper + André Malo GbR","48139","socks5","2593","1","2023-09-06T11:06:55.980Z","88","3188","3617"
"47.110.59.192","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","295","Aliyun Computing Co., LTD","9999","socks5","5015","1","2023-09-06T11:06:55.880Z","38","1438","3739"
"37.186.242.183","elite","AS12874","IT","Fastweb Networks","100","N/A","8080","socks4","4900","1","2023-09-06T11:06:55.881Z","86","3265","3781"
"193.59.26.116","elite","AS207684","PL","Bajtnet Spolka Z Ograniczona Odpowiedzialnoscia","48","BAJTNET Sp. z o.o.","4153","socks4","5004","1","2023-09-06T11:06:45.881Z","93","3357","3620"
"103.119.55.155","elite","AS63859","ID","PT. Eka Mas Republik","200","Myrepublic","8080","socks4","3508","1","2023-09-06T11:06:45.882Z","98","3620","3685"
"24.9.18.47","elite","AS33652","US","Comcast Cable Communications, LLC","198","Comcast Cable Communications","21231","socks5","1216","1","2023-09-06T11:06:45.880Z","85","3113","3680"
